Year,Type,Country,Area,Activity,Sex ,Age,Injury,Fatal (Y/N),Species ,latitude,longitude
1993,Unprovoked,ANGOLA,Luanda,Surfing,M,NA,Right Leg bitten,N,White,-11.202692,17.873887
2006,Boat,Antigua,Antigua,Competing in the Woodvale Atlantic Rowing Race,M,46,No injury to occupants; shark rammed boat repeatedly,N,NA,17.060816,-61.796428
1960,Unprovoked,AUSTRALIA,New South Wales,NA,F,27,"Shark brushed past, minor injuries if any",N,NA,-25.274398,133.775136
1960,Unprovoked,AUSTRALIA,Queensland,"Fishing, when line became snagged on rock & he dived into water to free it ",M,33,Left thigh lacerated,N,Grey reef ,-25.274398,133.775136
1960,Unprovoked,AUSTRALIA,Queensland,Fishing,M,NA,Bitten & survived,N,Bull   ,-25.274398,133.775136
1960,Unprovoked,AUSTRALIA,Queensland,Swimming,M,41,Right shoulder lacerated,N,NA,-25.274398,133.775136
1960,Provoked,AUSTRALIA,Queensland,Chasing shark out of bathing area while riding on a surf-ski,M,17,"Shark knocked him off surf-ski, he inhaled water & had to be resuscitated PROVOKED INCIDENT",N,NA,-25.274398,133.775136
1960,Unprovoked,AUSTRALIA,Western Australia,"Spearfishing, speared fish retreated to cave where shark grabbed his arm",M,24,Scratches on right upper arm,N,Wobbegong     ,-25.274398,133.775136
1960,Boat,AUSTRALIA,Western Australia,NA,NA,NA,"No injury to occupants, toothmarks on bottom & side of dinghy",N,NA,-25.274398,133.775136
1960,Provoked,AUSTRALIA,Western Australia,"Fishing, hauling in a set line",M,NA,4 fingers of left hand were lacerated by shark he had shot in the head PROVOKED INCIDENT,N,Bronze whaler    ,-25.274398,133.775136
1960,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,17,Right arm & side bruised,N,White,-25.274398,133.775136
1960,Provoked,AUSTRALIA,Western Australia,"Spearfishing, shot a sandtiger shark. Cord to spear tangled round his legs & a wave washed him onto a reef.",M,NA,"Bruises & minor injuries from reef, not the shark PROVOKED INCIDENT",N,Sandtiger,-25.274398,133.775136
1960,Unprovoked,AUSTRALIA,Victoria,Spearfishing,M,NA,Minor cuts & bruises on face & neck,N,NA,-25.274398,133.775136
1960,Unprovoked,AUSTRALIA,New South Wales,"Speared a grouper, saw shark but it came for him instead of the fish so he fired spear into shark?s mouth. Then shark took grouper but unable to swallow because of the spear in its mouth.",M,NA,Minor injuries to hand,N,Bronze whaler    ,-25.274398,133.775136
1960,Provoked,AUSTRALIA,South Australia,Shark fishing,NA,NA,Hooked shark bit stern  PROVOKED INCIDENT,N,White,-25.274398,133.775136
1960,Unprovoked,AUSTRALIA,Tasmania,"Wading, fishing for flounder",M,30,"No injury, Robertson knocked over & Hasler brushed by a shark",N,NA,-25.274398,133.775136
1960,Provoked,AUSTRALIA,New South Wales,Shark fishing,NA,NA,No injury to occupants. Hooked shark rammed boat  PROVOKED INCIDENT,N,Tiger   ,-25.274398,133.775136
1960,Provoked,AUSTRALIA,New South Wales,Spearfishing,M,20,"No injury, speared shark towed Gilles 200 yards & tore hole in diving suit, and hit Dowswell's back with its tail PROVOKED INCIDENT",N,Grey reef ,-25.274398,133.775136
1960,Sea Disaster,AUSTRALIA,Darwin,Portuguese Airliner with 9 people aboard went down. ,NA,NA,"As searchers approached wreckage, sharks circled one canoe & seized oar from another.",N,NA,-25.274398,133.775136
1960,Boat,AUSTRALIA,South Australia,NA,NA,NA,"No injury to occupants, shark lifted boat",N,Blue ,-25.274398,133.775136
1960,Unprovoked,AUSTRALIA,New South Wales,Free diving,M,13,"FATAL, right leg severed above knee, surgically amputated but died 9 days later ",Y,Bull   ,-25.274398,133.775136
1960,Provoked,AUSTRALIA,Western Australia,"Fishing, lifting shark out of craypot",M,NA,Upper leg bitten PROVOKED INCIDENT,N,Wobbegong     ,-25.274398,133.775136
1960,Boat,AUSTRALIA,Tasmania,Setting crayfish pots,NA,NA,"No injury to occupant, shark rammed boat",N,NA,-25.274398,133.775136
1961,Unprovoked,AUSTRALIA,Queensland,Standing,F,18,"FATAL, right arm severed at shoulder, left hand severed, right thigh bitten & surgically amputated.  Died  day after the attack",Y,NA,-25.274398,133.775136
1961,Unprovoked,AUSTRALIA,Queensland,Standing,M,24,"Hand bitten, surgically amputated",N,NA,-25.274398,133.775136
1961,Provoked,AUSTRALIA,Western Australia,Spearfishing,M,23,"No injury, Parker shot the shark when it came close to his nephew, Bill Bradbury (14), then the shark bent his speargun PROVOKED INCIDENT",N,Grey reef ,-25.274398,133.775136
1961,Boat,AUSTRALIA,South Australia,"Fishing, hauling in a 5-lb snapper",NA,NA,No injury to occupant; shark leapt into boat,N,NA,-25.274398,133.775136
1961,Unprovoked,AUSTRALIA,Torres Strait,Swimming with other crew near wharf,M,17,Right thigh and leg lacerated,N,NA,-25.274398,133.775136
1961,Provoked,AUSTRALIA,Queensland,Shark fishing,NA,NA,"No injury to occupant, hooked shark bit boat's rudder PROVOKED INCIDENT",N,White,-25.274398,133.775136
1961,Provoked,AUSTRALIA,Western Australia,Spearfishing,M,NA,"No injury, speared shark hit speargun PROVOKED INCIDENT",N,NA,-25.274398,133.775136
1961,Provoked,AUSTRALIA,New South Wales,Spearfishing,M,NA,Speared shark bit Davy's ankle &  Pierpont's right leg  PROVOKED INCIDENT,N,Wobbegong     ,-25.274398,133.775136
1961,Provoked,AUSTRALIA,New South Wales,Spearfishing,M,21,Speared shark bit his foot  PROVOKED INCIDENT,N,Wobbegong     ,-25.274398,133.775136
1961,Unprovoked,AUSTRALIA,New South Wales,"Checking fish traps, fell into the water",M,40,Tiny cuts & bruises on neck  ,N,Sharpnose,-25.274398,133.775136
1961,Unprovoked,AUSTRALIA,Victoria,Spearfishing,M,24,"No injury, right sleeve of wetsuit ripped, weight on belt gashed",N,Grey reef ,-25.274398,133.775136
1961,Provoked,AUSTRALIA,Western Australia,Spearfishing,M,NA,Speared shark bit his arm & seat of pants of diving suit  PROVOKED INCIDENT,N,Wobbegong     ,-25.274398,133.775136
1961,Unprovoked,AUSTRALIA,South Australia,Spearfishing,M,24,"Shark took his entire catch, lacerated his knee and tore his wet suit as it brushed past him",N,Bronze whaler    ,-25.274398,133.775136
1961,Unprovoked,AUSTRALIA,Victoria,Swimming,M,24,"Abdomen & arm bitten. Shark, holding him by the arm, leapt 4' to 5' above the surface",N,NA,-25.274398,133.775136
1961,Provoked,AUSTRALIA,Western Australia,Fishing from dinghy,F,NA,Hooked shark hauled on board bit her foot PROVOKED INCIDENT,N,NA,-25.274398,133.775136
1961,Unprovoked,AUSTRALIA,South Australia,Spearfishing,M,21,Left leg bitten  & left forearm lacerated,N,White,-25.274398,133.775136
